company,competitors
AACG,"AACG vs. YQ, KUKE, FEDU, BEDU, COE, GSUN, ISPO, SRM, KOSS, and HOFV"
AACI,"AACI vs. FLFV, USCT, WRAC, GLLI, NCAC, BLEU, DISA, OCAX, GDST, and BACA"
AADI,"AADI vs. CTXR, RANI, CUE, EBS, GALT, XBIT, ACRV, ANNX, VACC, and NKTX"
AAOI,"AAOI vs. AOSL, LASR, NVEC, SKYT, CAN, ICHR, MX, VLN, AIP, and TGAN"
AAME,"AAME vs. HFBL, KFFB, CFSB, CPBI, TCBS, LICN, AGMH, BCOW, BAFN, and DUNE"
AAL,"AAL vs. ALK, UAL, AZUL, CPA, SAVE, ALGT, LUV, HA, MESA, and DAL"
AAON,"AAON vs. ROCK, MAS, BECN, ESAB, MLI, CR, FELE, ROLL, FLR, and WOR"
AAPL,"AAPL vs. MSFT, GOOG, GOOGL, NVDA, META, DELL, SMCI, OSS, SCKT, and TSM"
AACT,"AACT vs. GHIX, MTAL, CCVI, SLAM, NETD, HCVI, XPDB, HCMA, LGVC, and CREV"
ABAT,"ABAT vs. SGII, BLNK, LTRX, GWH, IMMR, INOD, MG, RELL, ASUR, and AIP"
ABCL,"ABCL vs. SMMT, MRUS, RYZB, ARVN, IRON, AMRX, MRVI, MIRM, PCRX, and PNT"
ABCB,"ABCB vs. UCBI, IBOC, FIBK, TCBI, FBP, INDB, BOH, GBCI, FFIN, and SBCF"
ABCM,"ABCM vs. CRSP, HALO, IMVT, PCVX, EXEL, DNA, KRYS, IBRX, DNLI, and ACLX"
A,"A vs. MTD, DASH, DDOG, AME, BIDU, FIS, CTSH, TEL, FTNT, and CSGP"
AAMC,"AAMC vs. DUO, LEJU, CWD, GRNQ, CORR, SI, OXBR, FRBK, GIPR, and SNTG"
AAIC,"AAIC vs. AJX, BHR, MDV, LFT, MITT, CHMI, EARN, CMCT, CLPR, and HYW"
AAN,"AAN vs. WEYS, ESCA, COOK, AGS, DOYU, LINC, POWW, REAL, JAKK, and EEX"
AA,"AA vs. MLI, SLGN, ESAB, SEE, ATKR, VMI, FLS, TKR, ZWS, and FELE"
ABEO,"ABEO vs. DSGN, GALT, NKTX, CTXR, BRNS, VACC, VAXX, IMAB, OMER, and PMVP"
ABIO,"ABIO vs. SXTPW, ACONW, AIMDW, ALNAQ, DRTSW, ALVOW, ALVO, AONCW, AONC, and APLMW"
ABL,"ABL vs. ML, DHIL, VALU, SAR, FDUS, VINP, BRDG, DM, SAMG, and PUYI"
AAT,"AAT vs. WSR, OLP, LXP, CUZ, VNO, PMT, ALEX, SVC, ELME, and CIM"
ABLV,"ABLV vs. NSTB, OPTX, BYTS, PAYS, OCFT, ARRW, ADTH, SST, ZTEK, and CPTK"
AAU,"AAU vs. HYMCW, HYMCL, ODVWZ, ODVWW, BVN, FMSTW, HLP, IONR, MSB, and NIOBW"
AAP,"AAP vs. URBN, HGTY, ZGN, RUSHB, GMS, QRTEB, SHAK, KSS, AEO, and TRIP"
ABBV,"ABBV vs. MRK, PFE, JNJ, BMY, ZTS, IDXX, SGEN, IQV, MRNA, and BNTX"
ABOS,"ABOS vs. XFOR, TNYA, OPT, GRTS, CVM, OTLK, STRO, KOD, BDTX, and GLUE"
ABLLW,"ABLLW vs. VCXAU, TURN, VIIAU, NNAGU, NNAGW, ASCAU, ASCBU, AWP, THQ, and ACP"
ABNB,"ABNB vs. TJX, ORLY, DHI, LEN, ULTA, APTV, TNL, DRI, DECK, and DPZ"
ABSI,"ABSI vs. NOTV, MXCT, OABI, PRAX, ENGN, AQST, KOD, NVCT, STRO, and ESPR"
AB,"AB vs. APAM, CNS, LAZ, STEP, MC, FHI, PJT, VCTR, JHG, and AMK"
ABTS,"ABTS vs. MOGO, DGHI, MOXC, ZENV, OWLT, KPLT, HSON, USIO, BTCM, and JZ"
ABUS,"ABUS vs. CDMO, URGN, HROW, AMRN, ERAS, GRCL, IMNM, KALV, QURE, and NATR"
ABVC,"ABVC vs. BRTX, CANF, BNTC, TARA, GLTO, NAVB, AKTX, BWV, ARDS, and ENTX"
ACAB,"ACAB vs. CAPT, ATAK, IXAQ, COOL, TCOA, ENER, ESHA, APXI, FXCO, and ESAC"
ACABW,"ACABW vs. ASCBW, AVHIW, GMFIW, ALSAW, ACAXW, ALORW, APXIW, ARIZW, AOGOW, and ATAKW"
ACAC,"ACAC vs. IGTA, SHUA, CCTS, HHGC, AFAR, LBBB, OHAA, INTE, MACA, and RACY"
ACACU,"ACACU vs. VCXAU, VIIAU, NNAGU, NNAGW, ASCAU, ASCBU, ASPAU, ENERU, AVHIU, and ACACW"
ABEV,"ABEV vs. STZ, KDP, DEO, KHC, EL, KMB, ADM, HSY, KVUE, and GIS"
ACAHU,"ACAHU vs. VCXAU, VIIAU, NNAGU, NNAGW, ASCAU, ASCBU, ENERU, AVHIU, ACACU, and ACACW"
ABG,"ABG vs. GPI, AN, SAH, LAD, KMX, PAG, RUSHB, CVNA, CASY, and SFM"
ACAD,"ACAD vs. MDGL, NUVL, EVO, INSM, HCM, MRTX, PRGO, BPMC, RARE, and AXSM"
ACAH,"ACAH vs. GATE, ALCY, VMCA, BMAC, CHEA, CNDB, TBCP, PLMI, IRRX, and FXCO"
ABM,"ABM vs. FTDR, TPH, MHO, CVCO, CCS, DFH, ROAD, GTES, MDC, and KNF"
ACAX,"ACAX vs. AQU, MTRY, SAGA, HUDA, BREZ, DMAQ, PEPL, KACL, VSAC, and CLRC"
ACBA,"ACBA vs. ISPO, CDRO, PLBY, RDI, PFIN, CURI, COE, BZFD, BEDU, and JRSH"
ACCD,"ACCD vs. CNDT, MAX, PSFE, LQDT, VVI, IMXI, RPAY, RGP, ADV, and SHAP"
ABT,"ABT vs. PFE, AZN, NVS, SNY, ABBV, BMY, MRK, VRTX, REGN, and ZTS"
ACDC,"ACDC vs. HLX, PFHC, RES, PUMP, XPRO, CLB, OII, LBRT, VTLE, and MNTK"
ACET,"ACET vs. ACXP, IMUX, CLNN, CNTB, YS, RMTI, CRVO, LGVN, FGEN, and INCR"
ACGLN,"ACGLN vs. ACGLO, BRK-B, BRK-A, ESGRP, ESGRO, FGFPP, VCXAU, VIIAU, NNAGU, and NNAGW"
ACGL,"ACGL vs. ALL, TRV, WRB, MKL, CINF, CNA, AFG, PGR, HIG, and EG"
AC,"AC vs. TIGR, GAMI, OPY, GHL, NAVI, PIPR, VIRT, CFFN, FMBH, and MYI"
ACA,"ACA vs. AWI, SKY, PCH, KNF, MDC, GTES, SUM, KBH, IBP, and MHO"
ACGLO,"ACGLO vs. ACGLN, BRK-B, BRK-A, ESGRP, ESGRO, FGFPP, VCXAU, VIIAU, NNAGU, and NNAGW"
ACHC,"ACHC vs. XRAY, NTRA, BRBR, GRFS, EXEL, THC, EHC, IONS, KRTX, and GMED"
ACHL,"ACHL vs. INKT, GMDA, CGTX, COEP, CYTH, ELUT, QNCX, PASG, FRLN, and CRTX"
ACHV,"ACHV vs. VNRX, TKNO, CDIO, ICCC, OCX, AWH, NKTX, GRTS, GALT, and CVM"
ACLX,"ACLX vs. IMCR, DNLI, IBRX, KRYS, DNA, BEAM, NMRA, VCEL, IOVA, and RXRX"
ACIW,"ACIW vs. SWI, BLKB, VERX, SPNS, BAND, LPSN, ALTR, CYBR, GWRE, and MSTR"
ACIU,"ACIU vs. LXRX, PROC, MLYS, NUVB, PGEN, NRIX, FULC, TERN, NBTX, and KALV"
ACB,"ACB vs. SNDL, MNMD, FTLF, MDWD, BTMD, USNA, VNDA, OVID, AKYA, and RPHM"
ACLS,"ACLS vs. VECO, AVT, CRUS, PYCR, ASGN, BOX, SQSP, ESMT, SYNA, and ALIT"
ACCO,"ACCO vs. MTW, DXPE, ITRN, IPAX, EBF, KRT, HDSN, EAF, MYE, and IIIN"
ACNB,"ACNB vs. MCBC, EBTC, SMMF, MPB, BMRC, FFWM, RRBI, RBB, BWB, and FSBC"
ABR,"ABR vs. SLG, MAC, FCPT, OUT, LXP, GNL, DEI, EQC, HIW, and SKT"
ACMR,"ACMR vs. ERII, VECO, SGH, SCSC, ARLO, MEI, BHE, MODN, TTGT, and EVBG"
ACNT,"ACNT vs. NWPX, TAYD, ADES, DNMR, PESI, RSSS, TPIC, PYR, PYRGF, and PPSI"
ACEL,"ACEL vs. NGMS, SPHR, RSVR, BOWL, MANU, SBGI, IMAX, GTN.A, BYON, and MBUU"
ACI,"ACI vs. CELH, CPB, SJM, TAP, CAG, USFD, LW, COTY, SCI, and HRL"
ACHR,"ACHR vs. EVEX, OFG, PWP, LILM, NRDY, ERJ, OPAD, BLDE, AVAV, and RKLB"
ACOR,"ACOR vs. SABS, SQZ, GENE, SRZN, EIGR, BCDA, BCLI, ONVO, SNTI, and PHXM"
ACM,"ACM vs. EME, CLH, TTEK, STN, J, BWXT, APG, ROL, ACA, and OC"
ACRS,"ACRS vs. KZR, LPTX, IFRX, ADAG, TLSA, HILS, CLSD, EYEN, IXHL, and SPRO"
ACRX,"ACRX vs. GOVX, MBIO, CNSP, BNOX, CNTX, PCSA, TNXP, LPCN, AYTU, and MYNZ"
ACST,"ACST vs. VIRX, SYBX, PIRS, LSTA, COCP, DRRX, UNCY, ONCT, CRBP, and EQ"
ACRV,"ACRV vs. IOBT, SGMT, VERU, ORMP, GTHX, CMRX, RVPH, PRPH, RLMD, and CTMX"
ACN,"ACN vs. PDD, SPGI, FISV, CSCO, AMD, SAP, CRM, TMUS, INTC, and VZ"
ACIC,"ACIC vs. GLRE, JRVR, HRTG, UVE, NODK, KFS, HIPO, MHLD, ROOT, and PRA"
ACTG,"ACTG vs. GMM, DSP, NNOX, VSTA, CMPO, ML, BBCP, MVST, GCT, and IBEX"
ACXP,"ACXP vs. AGLE, ASMB, IMUX, ACET, HUGE, CARA, LGVN, MIRA, RMTI, and FGEN"
ADAP,"ADAP vs. PROK, ALEC, ALLO, BLUE, CRBU, ORTX, CGEM, ICVX, FDMT, and FUSN"
ADAG,"ADAG vs. TLSA, CLSD, EYEN, KZR, ACRS, LPTX, IFRX, HILS, IXHL, and SPRO"
ACVA,"ACVA vs. FVRR, FTCH, ARCO, JWN, TRIP, FL, KSS, SOVO, SHAK, and QRTEB"
ACON,"ACON vs. OPGN, NUWE, ALLR, INBS, ZVSA, BBI, SNOA, CWBR, PRFX, and MOTS"
ADBE,"ADBE vs. CRM, INTU, SNPS, CDNS, ORCL, SAP, SHOP, NTES, ASML, and AMD"
ACR,"ACR vs. AHT, WMC, LOAN, SELF, CLPR, CMCT, EARN, CHMI, SOHO, and MITT"
ACRE,"ACRE vs. DX, IVR, NYMT, RWT, ARR, MFA, CIM, PMT, TWO, and ARI"
ADD,"ADD vs. WAFU, BOXL, TEDU, EDTK, WNW, INPX, EZGO, WLDS, KWE, and SRAX"
ACP,"ACP vs. AWP, THQ, THW, AVK, AFB, AFT, AIF, ARDC, BGH, and BENFW"
ADES,"ADES vs. DNMR, PESI, TPIC, ACNT, TAYD, RSSS, LAKE, NNBR, PYR, and PYRGF"
ADEA,"ADEA vs. MKTW, NRC, HKD, ECVT, MEG, DADA, PGY, EVRI, GB, and BBU"
ADI,"ADI vs. MU, MCHP, TXN, MPWR, INTC, NXPI, STM, ON, GFS, and AMD"
ADMA,"ADMA vs. SRRK, SANA, RGNX, AUTL, TALS, APGE, EDIT, VALN, EXAI, and INBX"
ADIL,"ADIL vs. DRMA, ATXI, JAN, SCPS, CMRA, CWBR, INM, CYTO, SLRX, and NOVN"
ADN,"ADN vs. HUBC, APWC, GFAI, FATH, FTEK, EBON, LIQT, IDN, HTOO, and FTEL"
ADNWW,"ADNWW vs. LBPSW, LIDRW, AMPGW, ARTLW, BEEMW, BCDAW, BFRIW, BCTXW, ATNFW, and CEADW"
ACU,"ACU vs. LCUT, SCX, IH, CNTY, BRAG, SGA, APEI, QSG, SKLZ, and BSET"
ACV,"ACV vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
ADP,"ADP vs. VRSK, FI, WM, TRI, ARM, SPGI, TT, RSG, CPRT, and MRVL"
ADPT,"ADPT vs. AMAM, IMTX, HLVX, CABA, NVAX, REPL, PRME, AVXL, TARS, and FDMT"
ACRO,"ACRO vs. VAQC, APCA, SUAC, EVE, TRIS, IVCA, CLIN, GAQ, VCXB, and BCSA"
ADSEW,"ADSEW vs. DFLIW, NEOVW, DCFCW, AERTW, AIRTP, POWWP, ESOA, ESGLW, EVLVW, and FBYDW"
ADSE,"ADSE vs. AMPX, IBEX, AIRS, MVST, CDLX, BITF, VSTA, API, GCI, and SHAP"
ADSK,"ADSK vs. PLTR, EA, SPLK, ANSS, CDNS, TYL, MANH, SSNC, SNPS, and TRMB"
ADCT,"ADCT vs. CRVO, CNTB, VYNE, CKPT, SPRB, ANEB, YS, COYA, CLNN, and SYRS"
ADEX,"ADEX vs. SY, ZEPP, RLMD, ADVM, PSNL, PRPH, NKTR, JATT, LFVN, and CMRX"
ADTN,"ADTN vs. TBI, NCMI, GAMB, OPFI, GDOT, BWMN, GCT, RERE, BBCP, and ML"
ADTX,"ADTX vs. SXTC, THAR, CFRX, GLMD, ATHX, SPRC, ONCR, TMBR, BXRX, and KTRA"
ADC,"ADC vs. KRG, NNN, FRT, SKT, MAC, ROIC, KIM, RHP, AGNC, and FR"
ADOCW,"ADOCW vs. FINS, AURCW, GIPRW, and THCHW"
ADV,"ADV vs. RPAY, IMXI, VVI, MAX, CNDT, ACCD, PSFE, LQDT, RGP, and BFH"
ADUS,"ADUS vs. AHCO, AVAH, AMED, OPCH, MIRM, ALHC, IOVA, PNT, SUPN, and OMI"
ADTH,"ADTH vs. OCFT, SST, ALYA, OB, HOLO, TINV, TRMR, RXT, CDLX, and GMM"
ADVWW,"ADVWW vs. BLDEW, GFAIW, HLBZW, MCOMW, LIFWZ, PTIXW, THWWW, and UKOMW"
ADVM,"ADVM vs. MIRO, GNTA, IPSC, TRML, SGMO, CASI, OCGN, SLDB, JATT, and NKGN"
ADXN,"ADXN vs. CING, VRPX, MNPR, RNAZ, EVOK, FWBI, BWV, APTX, LIXT, and SNPX"
AEAE,"AEAE vs. OAKU, ALOR, LIBY, YOTA, GTAC, HAIA, QFTA, SWSS, PUCK, and RFAC"
ADM,"ADM vs. KVUE, KMB, GIS, SYY, STZ, KHC, KDP, ABEV, EL, and CTVA"
ADNT,"ADNT vs. LCII, VC, DORM, DAN, GTX, THRM, ALSN, PHIN, LAZR, and AXL"
ADRT,"ADRT vs. MCAG, BRAC, FATP, WAVS, QOMO, NOVV, TGVC, KWAC, PPHP, and MOBV"
AEHR,"AEHR vs. TRNS, ALNT, FEIM, DAIO, COHU, SMR, RDWR, BELFB, PBI, and PL"
AEHL,"AEHL vs. JXJT, FRES, ATXG, TROO, AEI, JTAI, PAVS, HAPP, STRR, and ALPP"
AEI,"AEI vs. JTAI, PAVS, HAPP, ATXG, FRES, STRR, ALPP, LRHC, AEHL, and JXJT"
ADT,"ADT vs. ALLE, SON, GTLS, ZWS, MSM, TKR, FLS, ATKR, SEE, and AA"
AENT,"AENT vs. QSG, VIRC, AOUT, TCS, YGF, LAZY, IMAQ, BRAG, LVO, and GMGI"
